# CSV-File created with merge-csv.com
# -----------------------------------------------------------

ID,bank_account_balance_20,bank_account_balance_21,bank_account_balance_22,bank_account_balance_23,bank_account_balance_24,bank_account_balance_25,bank_account_balance_26,bank_account_balance_27,bank_account_balance_28,bank_account_balance_29,bank_account_balance_30,bank_account_balance_31,bank_account_balance_32,bank_account_balance_33,bank_account_balance_34,bank_account_balance_35,bank_account_balance_36,bank_account_balance_37,bank_account_balance_38,bank_account_balance_39,bank_account_balance_40,bank_account_balance_41,bank_account_balance_42,bank_account_balance_43,bank_account_balance_44,bank_account_balance_45,bank_account_balance_46,bank_account_balance_47,bank_account_balance_48,bank_account_balance_49,bank_account_balance_50
130,5915,6284,7635,8063,8332,9294,9966,10421,10413,11585,12090,11749,12711,16892,17744,21191,21000,21440,25684,22177,23181,21179,22684,27703,33286,31210,32566,34302,37338,40966,42334
734,5220,5762,7692,7855,8370,9205,9900,10551,10829,11898,12401,13561,13220,16098,18506,21398,19529,20517,20178,22848,22494,21006,21565,28766,32798,31995,32295,34072,37972,40679,42684
627,5578,6014,7667,7669,8181,9172,9523,10817,10765,11735,12456,11718,14818,17084,19177,19256,16904,22311,24999,21605,23751,21488,25206,27498,31146,31597,32454,31437,36916,40386,42635
984,6000,5919,7417,8270,8555,9152,9697,10497,10805,11732,12326,11505,13721,17475,21879,19121,17091,22987,21833,22337,23596,20386,23600,27122,30776,31923,32130,30762,37756,40981,42186
313,5956,5862,7730,8074,8313,9257,9692,10845,10737,11861,12900,13234,13765,18218,17567,20402,20511,20474,20200,21776,23390,20429,25566,28877,32307,31593,32534,33743,38926,40308,42953
52,5650,5632,7748,7677,8193,9312,9835,10832,10642,11601,12631,11750,14771,18031,18575,19384,16745,22080,26794,22355,22137,21613,23396,28700,30814,31398,32338,30505,37692,40244,42470
129,5135,5673,7422,7800,8125,9259,9618,10578,10590,11754,12265,12224,14463,16324,21077,19043,20065,22408,25512,21664,22660,21000,21067,28321,30635,31570,32227,30048,38560,40969,42103
751,5411,5715,7596,7631,8728,9143,9972,10737,10890,11789,12198,11698,14583,18600,20861,19454,18088,23753,23690,21172,23158,20434,25030,28502,32304,31368,32918,30048,38755,40925,42912
503,5081,5668,7584,8250,8776,9355,9372,10568,10542,11918,12769,12825,13086,15081,19300,18479,19849,20703,22043,21311,23785,21929,22197,28724,31630,31355,32689,30157,36389,40489,42573
191,5395,5664,7748,7659,8807,9157,9886,10802,10576,11424,12911,12871,13867,18651,20824,17825,21414,21080,21032,22223,23807,21285,25605,27543,32862,31415,32088,33503,37543,40930,42526
